Name,ISIN,Symbol,Market,Currency,Open Price,High Price,low Price,last Price,last Trade MIC Time,Time Zone,Volume,Turnover,Closing Price,Closing Price DateTime
28 Jan 2024,,,,,,,,,,,,,,
All datapoints provided as of end of last active trading day.,,,,,,,,,,,,,,
SPAREBANKEN VEST,NO0006000900,SVEG,Oslo Børs,NOK,111.00,111.00,109.40,111.00,26/01/2024 16:25,CET,39824,4397706.20,111.00,26/01/2024
SPAREBANKEN ØST,NO0006222009,SPOG,Oslo Børs,NOK,53.40,53.60,53.40,53.40,26/01/2024 15:16,CET,57828,3118027.40,53.40,26/01/2024
SPARTOO,FR00140043Y1,ALSPT,Euronext Growth Paris,EUR,0.469,0.498,0.45,0.48,26/01/2024 17:35,CET,51903,24575.234,0.48,26/01/2024
SPBK 1 NORDMØRE,NO0010691660,SNOR,Oslo Børs,NOK,126.00,126.00,126.00,126.00,26/01/2024 09:16,CET,80,10080.00,126.00,26/01/2024
SPBK 1 ØSTLANDET,NO0010751910,SPOL,Oslo Børs,NOK,123.00,124.60,123.00,124.60,26/01/2024 16:25,CET,16948,2102941.60,124.60,26/01/2024
SPBK1 HELGELAND,NO0010029804,HELG,Oslo Børs,NOK,140.00,140.00,139.00,139.00,26/01/2024 15:12,CET,1450,202111.00,139.00,26/01/2024
SPBK1 NORD-NORGE,NO0006000801,NONG,Oslo Børs,NOK,105.20,105.20,104.60,105.00,26/01/2024 16:25,CET,58991,6194625.60,105.00,26/01/2024
SPBK1 RINGERIKE,NO0006390400,RING,Oslo Børs,NOK,296.00,298.00,292.00,298.00,25/01/2024 16:25,CET,145,42546.00,298.00,26/01/2024
SPBK1 ØSTFOLD AKE,NO0010285562,SOAG,Oslo Børs,NOK,332.00,332.00,332.00,332.00,26/01/2024 16:10,CET,200,66400.00,332.00,26/01/2024
SPEED RABBIT PIZZA,FR0000054371,MLSRP,Euronext Access Paris,EUR,9.35,9.35,9.35,9.35,24/01/2024 14:48,CET,512,4787.20,9.35,26/01/2024
SPIE,FR0012757854,SPIE,Euronext Paris,EUR,30.50,30.94,30.40,30.84,26/01/2024 17:35,CET,205484,6324297.32,30.84,26/01/2024
SPIE,FR0012757854,2SPIE,Trading After Hours,EUR,-,-,-,-,-,CET,-,-,30.84,26/01/2024
SPINDOX,IT0005449522,SPN,Euronext Growth Milan,EUR,9.20,9.25,9.15,9.15,26/01/2024 15:23,CET,1400,12880.00,9.15,26/01/2024
SPINEGUARD,FR0011464452,ALSGD,Euronext Growth Paris,EUR,0.2365,0.281,0.2365,0.265,26/01/2024 17:29,CET,856360,228909.624,0.265,26/01/2024
SPINEWAY,FR001400BVK2,ALSPW,Euronext Growth Paris,EUR,0.0088,0.015,0.0085,0.0109,26/01/2024 17:35,CET,216792574,2449876.5716,0.0109,26/01/2024
SPIR GROUP,NO0012548819,SPIR,Oslo Børs,NOK,6.20,6.20,5.90,6.20,26/01/2024 16:25,CET,26940,164246.08,6.20,26/01/2024
SPORTING,PTSCP0AM0001,SCP,Euronext Lisbon,EUR,0.95,0.95,0.94,0.94,26/01/2024 21:30,BST,23,21.81,0.94,26/01/2024
SPOTIFY TECHNOLOGY,LU1778762911,2SPOT,Trading After Hours,EUR,-,-,-,-,-,CET,-,-,196.60,26/01/2024
SPOTIFY TECHNOLOGY,LU1778762911,1SPOT,Euronext Global Equity Market,EUR,197.40,197.40,197.40,197.40,26/01/2024 09:00,CET,3,592.20,196.60,26/01/2024
SPOTIFY TECHNOLOGY,LU1778762911,4SPOT,EuroTLX,EUR,176.00,176.00,176.00,176.00,18/12/2023 10:29,CET,8,1408.00,196.40,26/01/2024
SPOTLIO,NO0010781560,SPOT,Euronext Growth Oslo,NOK,0.268,0.268,0.268,0.268,26/01/2024 15:40,CET,43000,11524.00,0.268,26/01/2024
SQLI,FR0011289040,SQI,Euronext Paris,EUR,42.00,42.40,42.00,42.20,26/01/2024 15:05,CET,16,674.00,42.20,26/01/2024
ST DUPONT,FR0000054199,DPT,Euronext Paris,EUR,0.071,0.074,0.067,0.0718,26/01/2024 17:05,CET,116351,8154.7968,0.0718,26/01/2024
ST GOBAIN IMB,BE0003279784,-,Euronext Expert Market,EUR,-,-,-,-,-,CET,-,-,120.00,26/01/2024
ST-PIETERS-LEEUW,BE0014199377,-,Euronext Expert Market,EUR,15.18,15.18,15.18,15.18,18/02/2020 11:30,CET,2,30.36,15.18,26/01/2024
STAINLESS TANKERS,NO0012780958,STST,Euronext Growth Oslo,NOK,59.99,59.99,56.50,56.95,26/01/2024 14:07,CET,1848,105209.20,56.95,26/01/2024
STANDARD SUPPLY,NO0012547308,STSU,Euronext Growth Oslo,NOK,4.67,4.67,4.55,4.56,26/01/2024 16:25,CET,304090,1387949.20,4.56,26/01/2024
STAR7,IT0005466195,STAR7,Euronext Growth Milan,EUR,7.00,7.00,6.95,7.00,26/01/2024 16:56,CET,7690,53679.55,7.00,26/01/2024
STARBUCKS CORP,US8552441094,1SBUX,Euronext Global Equity Market,EUR,85.20,85.20,85.20,85.20,26/01/2024 09:30,CET,104,8860.80,85.50,26/01/2024
